Temperature,Treatment,Survival
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
